"sep=,"
sn,serial,ct,modelo,observaciones,disponible
11,5CG1038QQ8,WHGREOBRLEMWJI,"portatil HP",,Si
12,5CG1038P3C,WHGREOBRLEMW9P,"portatil HP",,SI
13,5CG10390JQ,WHGREOBRLEMWSC,"portatil HP",,SI
14,5CG1038DFD,WHHREOA5REJFMM,"portatil HP",,SI
15,5CG1038NOR,WHGREOBRLEMXLG,"portatil HP",,SI
16,5CG103906P,WHGREOBRLEMWZH,"portatil HP",,SI
17,5CG1038PQD,WHHREOA5REJFN2,"portatil HP",,SI
18,5CG1038YLM,WHGREOBRLEMWXG,"portatil HP",,SI
19,5CG1038Q25,WHGREOBRLEMX46,"portatil HP",,SI
20,5CG1038VYK,WHGREOBRLEMWER,"portatil HP",,SI
21,5CG1038T57,WHGREOBRLEMWZE,"portatil HP",,SI
22,5CG1038V2P,WHGREOBRLEMWZJ,"portatil HP",,SI
23,5CG1038Y1K,WHGREOBRLEMWJD,"portatil HP",,SI
24,5CG1038S1Y,WHHREOA5REJ5FA,"portatil HP",,SI
25,5CG1038SOP,WHHREOA5REJFMB,"portatil HP",,SI
26,5CG10390BZ,WHGREOBRLEMWUV,"portatil HP",,SI
27,5CG1038Q16,WHHREOA5REJ562,"portatil HP",,SI
28,5CG1038T4Y,WHHREOA5REJ5FK,"portatil HP",,SI
29,5CG1038P36,WHGREOBRLEMWBY,"portatil HP",,SI
30,5CG1038TFY,WHGREOBRLEMWAD,"portatil HP",,SI
31,5CG1038S2H,WHGREOBRLEMW6Y,"portatil HP",,SI
32,5CG1038VRS,WHGREOBRLEMWOS,"portatil HP",,SI
33,5CG1038VG1,WHGREOBRLEMWK7,"portatil HP",,SI
34,5CG1038Q9N,WHGREOBRLEMWY1,"portatil HP",,SI
35,5CG1038Q9F,WHGREOBRLEMWMV,"portatil HP",,SI
36,5CG1038P25,WHGREOBRLEMW9R,"portatil HP",,SI
37,5CG1038VPS,WHGREOBRLEMW06,"portatil HP",,SI
38,5CG103903W,WHHREOA5REJFMC,"portatil HP",,SI
39,5CG1038PV8,WHGREOBRLEMWIW,"portatil HP",,SI
40,5CG10384PJ,WHGREOBRLEMWD1,"portatil HP",,SI
41,5CG1038STF,WHGREOBRLEMWNV,"portatil HP",,SI
42,5CG1038TNG,WHGREOBRLEMWJW,"portatil HP",,SI
43,5CG1038QPN,WHHREOA5REJ5GO,"portatil HP",,SI
44,5CG1038NOV,WHGREOBRLEMWFI,"portatil HP",,SI
45,5CG1038S1R,WHHREOA5REJ674,"portatil HP",,SI
46,5CG1038R3G,WHHREOA5REJ5ZW,"portatil HP",,SI
47,5CG1038ZKO,WHGREOBRLEMWZC,"portatil HP",,SI
48,5CG1038RRN,WHGREOBRLEMWY4,"portatil HP",,SI
49,5CG1038YMW,WHGREOBRLEMWIP,"portatil HP",,SI
50,5CG1038VRP,WHGREOBRLEM----,"portatil HP",,SI
51,5CG1038VR9,WHHRE0A4LEJ5S2,"portatil HP",,SI
52,5CG1038TTR,WHGREOBRLEMWQN,"portatil HP",,SI
53,5CG1038SOF,WHGREOBRLEMWDZ,"portatil HP",,SI
54,5CG1038TBJ,WHGREOBRLEMWBU,"portatil HP",,SI
55,5CG1038NKJ,WHEGREOBRLEMV9X,"portatil HP",,SI
56,5CG1038QK0,WHGREOBRLEMWDU,"portatil HP",,SI
57,5CG1039OOJ,WHGREOBRLEMWQP,"portatil HP",,SI
58,5CG1038VRK,WHGREOBRLEMWO3,"portatil HP",,SI
59,5CG103903Y,WHGREOBRLEMWDK,"portatil HP",,SI
60,5CG1038QPL,WHHRE0A4LEJ5RG,"portatil HP",,SI
61,5CG1038N5K,WHGREOBRLEMWAA,"portatil HP",,SI
62,5CG1038T4J,WHGREOBRLEMW7H,"portatil HP",,SI
63,5CG1038TZR,WHGREOBRLEMWAM,"portatil HP",,SI
64,5CG1038TC9,WHGREOBRLEMW7D,"portatil HP",,SI
65,5CG1038TG5,WHHREOA4LEJ5RH,"portatil HP",,SI
66,5CG1038CR4,WHGREOBRLEMWKV,"portatil HP",,SI
67,5CG1038QTX,WHGREOBRLEMW79,"portatil HP",,SI
68,5CG1038Y72,WHGREOBRLEMWDS,"portatil HP",,SI
69,5CG1038XRV,WHGREOBRLEMWZR,"portatil HP",,SI
70,5CG1038XPM,WHGREOBRLEMWET,"portatil HP",,SI
71,5CG103907R,WHHREOA5REJFM3,"portatil HP",,SI
72,5CG1038TO5,WHHREOA5REJ6BX,"portatil HP",,SI
73,5CG1038Y62,WHGREOBZKELO4,"portatil HP",,SI
74,5CG1038PQQ,WHHREOA4LEJ5FP,"portatil HP",,SI
75,5CG1038TFN,WHHREOA4LEJ5S5,"portatil HP",,SI
76,5CG1038VXW,WHGREOBRLEMWOS,"portatil HP",,SI
77,5CG1038Q3G,WHGREOBRLEMWCI,"portatil HP",,SI
78,5CG1038V23,WHGREOBRLEMWN7,"portatil HP",,SI
79,5CG1038Q9L,WHGREOBRLEMWSO,"portatil HP",,SI
80,5CG1038VRJ,WHGREOBRLEMWXW,"portatil HP",,SI
81,5CG1038CHC,WHHREO4LEJ6BS,"portatil HP",,SI
82,5CG1038STM,WHGREOBRLEMWAG,"portatil HP",,SI
83,5CG1038VSB,WHGREOBZKELY48,"portatil HP",,SI
84,5CG1038VRL,WHGREOBRLEMWZF,"portatil HP",,SI
85,5CG1038VGB,WHGREOBRLEMWAL,"portatil HP",,SI
86,5CG1038VQD,WHGREOBLEMWAV,"portatil HP",,SI
87,5CG1038R47,WHGREOBRLEMWMR,"portatil HP",,SI
